Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1
InChI=1S/C35H22O2S9/c1-17-6-8-23(40-17)29-19-12-14-39-32(19)30(24-9-7-18(2)41-24)20-15-27(43-33(20)29)22-10-11-26(42-22)35-34-21(16-28(44-34)46(3,36)37)31(45-35)25-5-4-13-38-25/h4-16H,1-3H3
10.1021/ar5000743,BOUZSMSNJFUUCG-UHFFFAOYSA-N,polymer,bulk,PC71BM,-5.04,-3.57,1.47,1.59,7.81,0.69,17.07,66.3
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6cc(S(C)(=O)=O)sc65)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1
18
Conformer 1
68
C -2.8866535736 -6.5610552859 -0.6385425206
C -3.6289828835 -5.3595140545 -0.1290588703
C -4.5230238602 -5.2729895445 0.9268907126
C -5.0512971275 -3.9614094769 1.1279707619
C -4.5599285317 -3.0187574579 0.2308948589
C -4.9132846545 -1.5953740514 0.1072940732
C -3.9354627018 -0.5623571511 -0.0356027933
C -2.5051872776 -0.6830085276 -0.0148121046
C -1.8343498457 0.5253568888 -0.1288213292
C -0.4104169089 0.7690288489 -0.1400112537
C 0.2775743012 1.9852541003 -0.2070080564
C 1.6862461245 1.8482734380 -0.1886309381
C 2.1166009602 0.5165774679 -0.1068780206
C 3.4640994683 0.0134976216 -0.0625809377
S 3.8076161380 -1.6933272371 0.2229470232
C 5.5502213891 -1.5015062863 0.1135493056
C 6.4051666513 -2.6570261009 0.2508079232
C 6.0746072366 -4.0092033387 0.1067840765
C 7.1715075427 -4.8874453175 0.3366677619
C 8.3409124984 -4.2161719093 0.6530823025
S 8.1055681259 -2.4977540599 0.6868398539
C 5.8583847403 -0.1420082528 -0.1055647681
C 7.0706333906 0.6121991702 -0.2903270068
C 6.8081580339 1.9452558776 -0.5036475305
S 8.0661702431 3.1973903774 -0.7971230512
C 8.2475782063 4.0242597266 0.8141974158
O 7.4977946840 4.1859745434 -1.7415733278
O 9.3305321645 2.4736255358 -1.0696806395
S 5.0905914712 2.3693199998 -0.5280513116
C 4.6835776428 0.6888187103 -0.1996197268
S 0.7314804028 -0.5696688632 -0.0643157000
S -2.9592195074 1.8901880557 -0.2673418758
C -4.3502756650 0.8102665744 -0.1579053101
C -5.6966926327 1.2299603506 -0.1325017337
C -6.0463481352 2.6560915709 -0.2512893452
C -5.5675151357 3.5946442264 -1.1588798737
C -6.0820051863 4.9103197246 -0.9461469890
C -6.9526530770 5.0025215753 0.1285136369
C -7.6762900580 6.2090242998 0.6532588185
S -7.1402447811 3.4371759582 0.8903157919
C -6.6751015772 0.1975141791 0.0108973469
C -8.1139713957 0.3190513901 -0.0035979556
C -8.7552157327 -0.8897556540 0.1083447018
S -7.6610861485 -2.2478011437 0.2324559234
C -6.2626940330 -1.1743319861 0.1306750083
S -3.4369022421 -3.7937920373 -0.8880442030
H -3.1753284274 -6.8200036629 -1.6802858981
H -1.7865396425 -6.4055786789 -0.6334559803
H -3.1081841527 -7.4387259965 0.0006830954
H -4.7870395681 -6.1403143884 1.5505142790
H -5.7572362342 -3.7007185560 1.9296496965
H -1.9821666389 -1.6429998789 0.0989063999
H -0.2406628320 2.9537386806 -0.2614746148
H 2.3784935710 2.7016984060 -0.2183530412
H 5.0674846970 -4.3434974653 -0.1830394216
H 7.1074813665 -5.9823704806 0.2605484623
H 9.3342764018 -4.6322349719 0.8646719933
H 8.0939844840 0.2124566075 -0.2903507465
H 8.5919818283 3.2862571636 1.5620035743
H 7.2808228722 4.4802830982 1.0983317348
H 9.0149415776 4.8053083811 0.6472427614
H -4.8800886192 3.3289349251 -1.9749889900
H -5.8249783113 5.7761070167 -1.5748510361
H -7.3737145153 6.4586277110 1.6932835716
H -8.7781361970 6.0658725150 0.6589339680
H -7.4521783095 7.0881038845 0.0168505809
H -8.6421110096 1.2766285393 -0.1050138519
H -9.8379078971 -1.0735644594 0.1223675825
QChem B3LYP/def2-SVP DFT,-0.187,-0.099,0.088,1.56454461973,0.4885289015,49.2884633879 
QChem BP86/def2-SVP DFT,-0.171,-0.118,0.053,0.699699158573,0.0531467495,202.619962665 
QChem M06-2X/def2-SVP DFT,-0.228,-0.077,0.151,8.87303812464e-05,1.604195666,0.000851260723918 
QChem PBE0/def2-SVP DFT,-0.197,-0.098,0.099,1.31704752712,0.7606427465,26.6482262065 
Conformer 2
68
C -2.5519527840 -6.7114123673 0.1814538170
C -3.3650829070 -5.4952257709 0.5191976136
C -4.2849072479 -5.3204762016 1.5415765910
C -4.8788839952 -4.0223080274 1.5657517114
C -4.4139105095 -3.1767467185 0.5635036726
C -4.8266869679 -1.7963406062 0.2626059799
C -3.8935384863 -0.7450678575 -0.0000115801
C -2.4587752008 -0.7982793308 0.0367363922
C -1.8420848131 0.4187798101 -0.2107502116
C -0.4316724845 0.7305059003 -0.2471169819
C 0.1894744625 1.9811089844 -0.3291633382
C 1.6031318842 1.9183141705 -0.3451492208
C 2.1045871791 0.6110549773 -0.2759806859
C 3.4790306331 0.1838493170 -0.2659277465
S 3.9279418888 -1.5159968317 -0.4128440411
C 5.6567257233 -1.2068007235 -0.3426306444
C 6.5831293323 -2.3109491365 -0.4228865595
C 6.3340066827 -3.6338076019 -0.8078868370
C 7.4884575471 -4.4650444498 -0.7598411894
C 8.6219801890 -3.7874217089 -0.3425676880
S 8.2818066331 -2.1236778567 0.0096116895
C 5.8780692973 0.1804723833 -0.2019378795
C 7.0397458451 1.0249908644 -0.0924031493
C 6.6906457905 2.3486277078 0.0390038900
S 7.8516568112 3.7137806821 0.1990983632
C 7.9219260579 4.0176969729 1.9919190213
O 9.1788432617 3.2040258510 -0.2193555931
O 7.2213495468 4.8993331114 -0.4259022025
S 4.9511322140 2.6662260180 0.0081890961
C 4.6528082433 0.9397038974 -0.1594365960
S 0.7796786424 -0.5461383620 -0.1886615976
S -3.0250548647 1.7057889307 -0.5087399547
C -4.3679470773 0.5851327100 -0.2789929100
C -5.7316991811 0.9459559174 -0.3077556082
C -6.1411736635 2.3317779850 -0.5935744078
C -5.6828839063 3.1843791036 -1.5925555253
C -6.2640420110 4.4880986722 -1.5437627673
C -7.1668404178 4.6586885901 -0.5057832357
C -7.9609579134 5.8792828875 -0.1396590451
